feature_space,model,transform_type,dihs_depth,dihs_margin_mean,dihs_margin_std,top1_dihs_mean,top1_dihs_std,top2_dihs_mean,top2_dihs_std,n_iterations,mean_n_neighbor_units
Coupled,agglomerative,clr,14,0.14476983665534304,0.027710595998367223,0.5517485717566813,0.031531935211668034,0.4069787351013383,0.0316065904409133,100,10.0
Coupled,gaussian,clr,14,0.13623233797736886,0.02820554006142466,0.5276622697855319,0.022918834463555332,0.391429931808163,0.021544232432104512,100,10.0
Coupled,kmeans,clr,14,0.11208668364102409,0.02497098129967853,0.5145751973974931,0.023729630664098222,0.402488513756469,0.0317703919793557,100,10.0
Major,agglomerative,clr,14,0.0973913860116257,0.03594155064152672,0.5396135910726776,0.032380370023660204,0.44222220506105187,0.03940330496326585,100,10.0
Major,gaussian,clr,14,0.08517502558395718,0.01392096797082636,0.5629887793776839,0.015351417090711401,0.4778137537937267,0.013769295338631108,100,10.0
Major,kmeans,clr,14,0.12038064045781612,0.026291210350964638,0.5606532783015455,0.03430291636192331,0.4402726378437295,0.044663930308359655,100,10.0
Trace,agglomerative,scaled,14,0.08362443135101907,0.04719633917758473,0.516383181683948,0.056250931202634906,0.432758750332929,0.06110151716712544,100,10.0
Trace,gaussian,scaled,14,0.10833901288771836,0.03243223289295254,0.5275470635962681,0.025747034165318147,0.41920805070854966,0.033260059005034884,100,10.0
Trace,kmeans,scaled,14,0.06131325065878513,0.028204171109709304,0.42339104713453213,0.025324603231212606,0.36207779647574695,0.0358586687186892,100,10.0
