integration_depth,n_iterations,margin_mean,margin_median,margin_std,margin_iqr,calibrated_precision_mean,calibrated_precision_median,calibrated_precision_std,calibrated_precision_iqr,calibrated_coverage_mean,calibrated_coverage_median,precision_at_mean_margin,coverage_at_mean_margin,precision_at_median_margin,coverage_at_median_margin,fraction_above_95,fraction_above_90,fraction_above_85,fraction_above_80,fraction_above_75,model,transform,unknown_class,top1_class,top1_class_key,top1_frequency,top1_wins,top1_mean_dihs,top1_dihs_std,top1_dihs_rank,top2_class,top2_class_key,top2_mean_dihs,top2_dihs_std,top1_selection_method,empirical_resolvedness,n_pseudo_runs_above_mean_margin,perturbative_iterations,pseudo_unknown_iterations,pseudo_unknown_sample_size,top1_source_count,calibration_depth,perturbative_common_depth_level,pseudo_unknown_common_depth_level,resolvedness_threshold_95,precision_above_threshold_95,coverage_above_threshold_95,n_runs_above_threshold_95,resolvedness_threshold_90,precision_above_threshold_90,coverage_above_threshold_90,n_runs_above_threshold_90,resolvedness_threshold_85,precision_above_threshold_85,coverage_above_threshold_85,n_runs_above_threshold_85,resolvedness_threshold_80,precision_above_threshold_80,coverage_above_threshold_80,n_runs_above_threshold_80,resolvedness_threshold_75,precision_above_threshold_75,coverage_above_threshold_75,n_runs_above_threshold_75
14.0,100.0,0.14476983665534304,0.1438874525929528,0.027710595998367216,0.036662679537582205,0.9055861445185743,0.8999876527966415,0.042739218690316466,0.06706349206349205,0.4449,0.44,0.896551724137931,0.435,0.8977272727272727,0.44,0.16,0.54,0.93,0.98,0.99,agglomerative,clr,Caio,RMP,RMP,1.0,100,0.5196662549881365,0.029606799037350535,1,IAVP,IAVP,0.37593581227002665,0.03326831006035205,top1_frequency,0.896551724137931,87,100,100,17,418,14,15,14,0.17316121424582914,0.9558823529411765,0.34,68,0.14016256908076158,0.9021739130434783,0.46,92,0.10615563092287705,0.853448275862069,0.58,116,0.08006775804258798,0.8,0.625,125,0.06940324423043004,0.7518796992481203,0.665,133
14.0,100.0,0.11208668364102406,0.11219228091564012,0.024970981299678518,0.031083812691150126,0.9156425184785674,0.9259259259259259,0.06531796571661304,0.06868131868131866,0.5491,0.54,0.9259259259259259,0.54,0.9259259259259259,0.54,0.28,0.63,0.89,0.93,0.95,kmeans,clr,Caio,RMP,RMP,1.0,100,0.4845280814908349,0.022452066621044087,1,IAVP,IAVP,0.37198854763921557,0.034023292876203724,top1_frequency,0.9259259259259259,108,100,100,17,418,14,15,15,0.12788922345666665,0.9523809523809523,0.525,105,0.10645288917889834,0.9009009009009009,0.555,111,0.08425972298388701,0.8547008547008547,0.585,117,0.07306020431881827,0.8,0.625,125,0.06132070185059135,0.7518796992481203,0.665,133
14.0,100.0,0.13623233797736886,0.1333807082478489,0.02820554006142468,0.03623802152230414,0.771912266343304,0.7720056334421612,0.028222875335698797,0.016239316239316293,0.5911500000000001,0.615,0.7723577235772358,0.615,0.7723577235772358,0.615,0.0,0.0,0.0,0.1,0.89,gaussian,clr,Caio,RMP,RMP,1.0,100,0.4454616873286127,0.020426823422208088,1,ERP,ERP,0.3282105782662697,0.01747730194286681,top1_frequency,0.7723577235772358,123,100,100,17,418,14,17,14,0.27641443861677656,1.0,0.02,4,0.27641443861677656,1.0,0.02,4,0.2136422339591193,0.8548387096774194,0.31,62,0.17832050348086498,0.8,0.475,95,0.10186661513431639,0.75,0.66,132
