"dataset_size_pct","sample_size","feature_space","model","case","n_runs","margin_mean","margin_std","margin_median","true_positive_fraction"
"100","1","Coupled","agglomerative","negative","600","0.10952160967342704","0.09436991908835224","0.09881991466378098","0.0"
"100","1","Coupled","agglomerative","positive","600","0.15710878679047022","0.1245109227062126","0.1284939055337425","0.7833333333333333"
"100","1","Coupled","gaussian","negative","600","0.03543461954622522","0.03947557198070742","0.0214843118152436","0.0"
"100","1","Coupled","gaussian","positive","600","0.10809495497523017","0.07850447176258485","0.09244017040033908","0.7433333333333333"
"100","1","Coupled","kmeans","negative","600","0.10057708234160448","0.0919544544924155","0.054525805902147215","0.0"
"100","1","Coupled","kmeans","positive","600","0.16531438048107563","0.13448338367741747","0.1295575916147296","0.725"
"100","10","Coupled","agglomerative","negative","600","0.09694505396180922","0.07620801965218045","0.07780330618543432","0.0"
"100","10","Coupled","agglomerative","positive","600","0.37346920500236774","0.13353701359930584","0.36905951238696577","1.0"
"100","10","Coupled","gaussian","negative","600","0.06807225198221165","0.050816349637347484","0.05820029449915623","0.0"
"100","10","Coupled","gaussian","positive","600","0.3069286327037916","0.08234762091162018","0.32145503763899674","1.0"
"100","10","Coupled","kmeans","negative","600","0.10525164459457925","0.08006665792277624","0.08882134781146189","0.0"
"100","10","Coupled","kmeans","positive","600","0.37271719527845737","0.13179241407473666","0.35069589491842057","1.0"
"100","12","Coupled","agglomerative","negative","600","0.08318529530225253","0.06340208907118997","0.07601307025768464","0.0"
"100","12","Coupled","agglomerative","positive","600","0.38996159206898284","0.13169981333642836","0.37983151552247185","1.0"
"100","12","Coupled","gaussian","negative","600","0.06624953306369892","0.05153598299281387","0.05484715791809533","0.0"
"100","12","Coupled","gaussian","positive","600","0.32479316795633134","0.07762487368844641","0.33407301892793256","1.0"
"100","12","Coupled","kmeans","negative","600","0.10043266843208952","0.07340191560729681","0.083200048335137","0.0"
"100","12","Coupled","kmeans","positive","600","0.39131301931407064","0.1251134431615933","0.35932853440114065","1.0"
"100","15","Coupled","agglomerative","negative","600","0.07919043192494801","0.06351820050276068","0.06613740010714189","0.0"
"100","15","Coupled","agglomerative","positive","600","0.40897028976806815","0.13172109869795628","0.3922081650042716","1.0"
"100","15","Coupled","gaussian","negative","600","0.07141831700276131","0.053243607543849346","0.061464633121406154","0.0"
"100","15","Coupled","gaussian","positive","600","0.34478679160530074","0.08110801913385857","0.3553984755997297","1.0"
"100","15","Coupled","kmeans","negative","600","0.0959791819467924","0.07546090220735349","0.08094590635146565","0.0"
"100","15","Coupled","kmeans","positive","600","0.41154776603327203","0.1262899906245701","0.37662025834153134","1.0"
"100","18","Coupled","agglomerative","negative","600","0.0792581502086551","0.06288830979512024","0.06836215017420477","0.0"
"100","18","Coupled","agglomerative","positive","600","0.4220050900583428","0.13179889541340023","0.4157388974672932","1.0"
"100","18","Coupled","gaussian","negative","600","0.07070613671459774","0.05179728144343132","0.06049793180776637","0.0"
"100","18","Coupled","gaussian","positive","600","0.35937410300250977","0.0858983329015878","0.3645532522380843","1.0"
"100","18","Coupled","kmeans","negative","600","0.10107300329143012","0.07851948753912531","0.08814967249729677","0.0"
"100","18","Coupled","kmeans","positive","600","0.436962215368933","0.13228350796712923","0.40956387162039165","1.0"
"100","2","Coupled","agglomerative","negative","600","0.12856829303996392","0.09384675467515396","0.1153222336096078","0.0"
"100","2","Coupled","agglomerative","positive","600","0.2210853849324263","0.12464782645520445","0.21705232193460117","0.9"
"100","2","Coupled","gaussian","negative","600","0.04334650522715769","0.04431126521080287","0.026528990489937287","0.0"
"100","2","Coupled","gaussian","positive","600","0.17742356638666712","0.08764497361558338","0.19567689815539108","0.925"
"100","2","Coupled","kmeans","negative","600","0.10876612633304608","0.08855403684159531","0.07489211643473052","0.0"
"100","2","Coupled","kmeans","positive","600","0.2283957243514555","0.14148540101038543","0.2202293636128394","0.9183333333333333"
"100","20","Coupled","agglomerative","negative","600","0.08248674963359133","0.06793387617796216","0.06901645322153535","0.0"
"100","20","Coupled","agglomerative","positive","600","0.4226048390312644","0.13027161945613347","0.4077777364530758","1.0"
"100","20","Coupled","gaussian","negative","600","0.06812966740333845","0.05006199544285413","0.059180724167718815","0.0"
"100","20","Coupled","gaussian","positive","600","0.37052096324827116","0.08280343305047125","0.3745962839028163","1.0"
"100","20","Coupled","kmeans","negative","600","0.09924727132664614","0.07267303618952042","0.08939924736960153","0.0"
"100","20","Coupled","kmeans","positive","600","0.4314098391302799","0.12542194453460803","0.4032509176887429","1.0"
