"dataset_size_pct","sample_size","feature_space","model","source_class_key","case","n_runs","margin_mean","margin_std","margin_median","top1_true_fraction"
"100","1","Coupled","agglomerative","AI","negative","100","0.11974402297328186","0.1696457533402434","0.047148999564231214","0.0"
"100","1","Coupled","agglomerative","AI","positive","100","0.14354988364943316","0.0841778841703922","0.18478883607787036","0.84"
"100","1","Coupled","agglomerative","EV","negative","100","0.175700327454515","0.0794569120445367","0.21561177966430392","0.0"
"100","1","Coupled","agglomerative","EV","positive","100","0.3691678344363114","0.08202533717601516","0.38287071676050816","0.98"
"100","1","Coupled","agglomerative","PF","negative","100","0.07208370183917914","0.054980957628109665","0.05002643113776259","0.0"
"100","1","Coupled","agglomerative","PF","positive","100","0.08829173425624315","0.03874129396043127","0.09702727810303677","0.68"
"100","1","Coupled","agglomerative","PI","negative","100","0.13389432003051754","0.04945311662819105","0.12417484140762369","0.0"
"100","1","Coupled","agglomerative","PI","positive","100","0.14309372116256724","0.08697600814023358","0.12848482532576383","0.7"
"100","1","Coupled","agglomerative","RMP","negative","100","0.06560457928146424","0.05551045526867074","0.04862144528965259","0.0"
"100","1","Coupled","agglomerative","RMP","positive","100","0.12223778680214092","0.08512083397166383","0.13729910476495955","0.86"
"100","1","Coupled","agglomerative","VV","negative","100","0.0901027064616045","0.036967194432349276","0.08890160821952932","0.0"
"100","1","Coupled","agglomerative","VV","positive","100","0.07631176043612531","0.07254021650758377","0.03308285098125453","0.64"
"100","1","Coupled","gaussian","AI","negative","100","0.023201530373374885","0.02121181859694257","0.01754484572148171","0.0"
"100","1","Coupled","gaussian","AI","positive","100","0.12246907760171784","0.062123793490911905","0.14881952605023763","0.81"
"100","1","Coupled","gaussian","EV","negative","100","0.029147479166383786","0.045495471215365964","0.014137678369731094","0.0"
"100","1","Coupled","gaussian","EV","positive","100","0.18340727195002696","0.07496167006952184","0.20478276213267463","0.9"
"100","1","Coupled","gaussian","PF","negative","100","0.06629418018271999","0.06812042215830369","0.03194692129668469","0.0"
"100","1","Coupled","gaussian","PF","positive","100","0.05235066601717705","0.025669507800212724","0.050158596578763245","0.52"
"100","1","Coupled","gaussian","PI","negative","100","0.031170260897516608","0.01358358915101342","0.022337308558078292","0.0"
"100","1","Coupled","gaussian","PI","positive","100","0.11485898393984907","0.0898227477300863","0.14905455087090977","0.64"
"100","1","Coupled","gaussian","RMP","negative","100","0.02041990252425001","0.016025779340058385","0.018903877577763295","0.0"
"100","1","Coupled","gaussian","RMP","positive","100","0.07772849515028113","0.041566623207354145","0.07789683669258292","0.99"
"100","1","Coupled","gaussian","VV","negative","100","0.04237436413310602","0.019477270114415503","0.040783703305141444","0.0"
"100","1","Coupled","gaussian","VV","positive","100","0.09775523519232893","0.08481230611390467","0.05971200038577067","0.6"
"100","1","Coupled","kmeans","AI","negative","100","0.049800709341526195","0.07179475614097858","0.03550072615379887","0.0"
