"dataset_size_pct","sample_size","feature_space","model","integration_depth","target_precision","resolvedness_threshold","precision_above_threshold","coverage_above_threshold","n_runs_above_threshold","n_total_runs","n_valid_runs","n_eligible_classes","min_runs_above_threshold","common_depth_level"
"25","12","Coupled","kmeans","8","0.95","0.27603126832374075","0.950354609929078","0.47","564","1200","1200","6","1","8"
"25","15","Coupled","agglomerative","8","0.95","0.28954931802292816","0.9514018691588785","0.44583333333333336","535","1200","1200","6","1","8"
"25","15","Coupled","gaussian","8","0.95","0.2796147087339115","0.9514018691588785","0.44583333333333336","535","1200","1200","6","1","8"
"25","15","Coupled","kmeans","9","0.95","0.24281632416138765","0.9501661129568106","0.5016666666666667","602","1200","1200","6","1","9"
"25","18","Coupled","agglomerative","8","0.95","0.27751834422009347","0.9515260323159784","0.46416666666666667","557","1200","1200","6","1","8"
"25","18","Coupled","gaussian","8","0.95","0.29965078351819063","0.9505703422053232","0.43833333333333335","526","1200","1200","6","1","8"
"25","18","Coupled","kmeans","9","0.95","0.2748978285146897","0.951048951048951","0.47706422018348627","572","1200","1199","6","1","9"
"25","2","Coupled","agglomerative","8","0.95","0.5574430123134749","1.0","0.06916666666666667","83","1200","1200","6","1","8"
"25","2","Coupled","gaussian","7","0.95","0.27607685132881327","0.95","0.2833333333333333","340","1200","1200","6","1","7"
"25","2","Coupled","kmeans","9","0.95","0.36859190018280197","0.9508928571428571","0.18666666666666668","224","1200","1200","6","1","9"
"25","20","Coupled","agglomerative","8","0.95","0.282726900027123","0.9507908611599297","0.4741666666666667","569","1200","1200","6","1","8"
"25","20","Coupled","gaussian","8","0.95","0.2932114711296103","0.9502868068833652","0.43583333333333335","523","1200","1200","6","1","8"
"25","20","Coupled","kmeans","9","0.95","0.26627148716178806","0.9506802721088435","0.49","588","1200","1200","6","1","9"
"25","22","Coupled","agglomerative","8","0.95","0.25298563210172","0.9509001636661211","0.5091666666666667","611","1200","1200","6","1","8"
"25","22","Coupled","gaussian","8","0.95","0.29711488237754496","0.9511278195488722","0.44333333333333336","532","1200","1200","6","1","8"
"25","22","Coupled","kmeans","9","0.95","0.26392261081826096","0.9513422818791947","0.49666666666666665","596","1200","1200","6","1","9"
"25","25","Coupled","agglomerative","8","0.95","0.28343892795934944","0.950530035335689","0.4716666666666667","566","1200","1200","6","1","8"
"25","25","Coupled","gaussian","8","0.95","0.29852232442858584","0.9502868068833652","0.43583333333333335","523","1200","1200","6","1","8"
"25","25","Coupled","kmeans","9","0.95","0.2844263867906832","0.951048951048951","0.47706422018348627","572","1200","1199","6","1","9"
"25","4","Coupled","agglomerative","8","0.95","0.30726682662527605","0.951063829787234","0.39166666666666666","470","1200","1200","6","1","8"
"25","4","Coupled","gaussian","7","0.95","0.2677078599297797","0.9504132231404959","0.4033333333333333","484","1200","1200","6","1","7"
"25","4","Coupled","kmeans","9","0.95","0.30513463792415724","0.9512195121951219","0.37583333333333335","451","1200","1200","6","1","9"
"25","5","Coupled","agglomerative","8","0.95","0.2787331237426601","0.951171875","0.4266666666666667","512","1200","1200","6","1","8"
"25","5","Coupled","gaussian","8","0.95","0.23525526435360455","0.9514925373134329","0.44666666666666666","536","1200","1200","6","1","8"
"25","5","Coupled","kmeans","8","0.95","0.3229212913425211","0.9516806722689075","0.39666666666666667","476","1200","1200","6","1","8"
"25","7","Coupled","agglomerative","8","0.95","0.2699698535480838","0.9516441005802708","0.43083333333333335","517","1200","1200","6","1","8"
"25","7","Coupled","gaussian","7","0.95","0.2714925327620685","0.9508506616257089","0.44083333333333335","529","1200","1200","6","1","7"
"25","7","Coupled","kmeans","9","0.95","0.2818751164008282","0.951171875","0.4266666666666667","512","1200","1200","6","1","9"
"50","1","Coupled","agglomerative","9","0.95","","","","0","1200","1200","6","1","9"
"50","1","Coupled","gaussian","10","0.95","0.22923765004159033","0.9515151515151515","0.1375","165","1200","1200","6","1","10"
"50","1","Coupled","kmeans","10","0.95","0.574039257873979","0.9512195121951219","0.034166666666666665","41","1200","1200","6","1","10"
"50","10","Coupled","agglomerative","9","0.95","0.3455139539764693","0.9508928571428571","0.37333333333333335","448","1200","1200","6","1","9"
"50","10","Coupled","gaussian","10","0.95","0.1966344070277204","0.9513422818791947","0.49666666666666665","596","1200","1200","6","1","10"
"50","10","Coupled","kmeans","10","0.95","0.2539429517634493","0.9511343804537522","0.4775","573","1200","1200","6","1","10"
"50","12","Coupled","agglomerative","9","0.95","0.3330877395748737","0.9507186858316222","0.4058333333333333","487","1200","1200","6","1","9"
"50","12","Coupled","gaussian","10","0.95","0.19714202562911876","0.9504132231404959","0.5041666666666667","605","1200","1200","6","1","10"
"50","12","Coupled","kmeans","9","0.95","0.2757889691281399","0.9501779359430605","0.4683333333333333","562","1200","1200","6","1","9"
"50","15","Coupled","agglomerative","9","0.95","0.35440344040487604","0.9538461538461539","0.37916666666666665","455","1200","1200","6","1","9"
"50","15","Coupled","gaussian","10","0.95","0.18483538886705636","0.95","0.5166666666666667","620","1200","1200","6","1","10"
"50","15","Coupled","kmeans","10","0.95","0.250935174267911","0.9515050167224081","0.49833333333333335","598","1200","1200","6","1","10"
